NOM	ADREÇA	DISTRICTE	C. P.	POBLACIO	PAIS	Telèfon 1	Telèfon 2	WEB	E-MAIL	INFO EXTRA 1	INFO EXTRA 2	INFO EXTRA 3
Restaurant La Vinya del Senyor - Avinguda Sarrià	Av Sarrià 15 bxs	Eixample	08029	BARCELONA	ESPANYA	+34 934102511						
Pizza Sapri - Gal.lileu	Galileu 326	Les Corts	08028	BARCELONA	ESPANYA	+34 933222040	+34 902100796	http://www.pizzasapri.com				
Restaurant Las Fiestas del Convento	Carrer Jerusalem 3 P R AL04	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933022432	+34 933020873		info@sebastiangroup.com	http://www.sebastiangroup.com	+34 609052350	+34 933022432
Cerveseria Restaurant Can Xapata	Carrer Casanova 213	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932402184		http://www.can-xapata.com				
Restaurant Japonès Prosperity Sushi	Carrer València 240	Eixample	08007	BARCELONA	ESPANYA	+34 934516228						
Restaurant La Polpa	Carrer Enric Granados 69	Eixample	08008	BARCELONA	ESPANYA	+34 933238308						
Restaurant Xinés Memorias de China	Carrer Lincoln 17	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934157602	+34 932183304	http://www.memoriasdechina.es	info@memoriasdechina.es			
Restaurant El Rovell del Born	Carrer Argenteria 6	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932690458						
Café Restaurant L'Appart	Carrer Pelai 9	Eixample	08001	BARCELONA	ESPANYA	+34 933176673						
Restaurant La General de Tartas	Pg Bonanova 56	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 932123302						
Restaurant Japonès Sumo - Centre de la Vila	Carrer Salvador Espriu 61	Sant Martí	08005	BARCELONA	ESPANYA	+34 932219847	+34 932219847					
Restaurant Japonès Sumo - Diagonal Mar	Av Diagonal 3	Sant Martí	08019	BARCELONA	ESPANYA	+34 933562327	+34 933562327					
Restaurant Chido One	Carrer Torrijos 30	Gràcia	08012	BARCELONA	ESPANYA	+34 932850335	+34 932371531	http://www.chidoone.com	info@chidoone.com			
Bar Restaurant 12+1 Deport Restaurant	Arquitecte Sert 17-19	Sant Martí	08005	BARCELONA	ESPANYA	+34 932219752	+34 932219752	http://www.12mas1.com	12mas1@12mas1.com			
Cerveseria Restaurant Vildsvin	Carrer Ferran 38	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933179455			reservas@sagardi.es			
Xiringuito Splashh	Ptja Barceloneta 100-LP	Ciutat Vella	08003	BARCELONA	ESPANYA							
Bar El 24	Ferran 24	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933020986						
Restaurant Va de Vi	Banys Vells 16	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933192900						
Museu d'Història de Catalunya	Pl Pau Vila 3	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 932210050						
Restaurant Self-service Polimenú-La Cup	Carrer Jordi Girona 1-3	Les Corts	08034	BARCELONA	ESPANYA	+34 934017107	+34 932044020		notable@versin.com	http://www.restaurantenotable.com		
Restaurant Notable - La Cup	Carrer Jordi Girona 3-5	Les Corts	08034	BARCELONA	ESPANYA	+34 934017107	+34 932044020	http://www.restaurantenotable.com	polinotable@terra.es	+34 932044020		
Restaurant Els Pollos de Llull - Ramon Turró	Carrer Ramon Turró 13	Sant Martí	08005	BARCELONA	ESPANYA	+34 932213206	+34 607350289	http://www.elspollos.com	info@elspollos.com	+34 932213206		
Bar La Confiteria	Sant Pau 128	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 934430458						
Abba Sants Hotel	Carrer Numància 32	Sants-Montjuïc	08029	BARCELONA	ESPANYA	+34 936003131	+34 936003101	http://www.abbahoteles.com	abbasants@abbahoteles.com			
Centro Riojano de Barcelona	Peu de la Creu 8-10	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 934430854	+34 934423827					
Restaurant Ugarit Bruniquer	Carrer Bruniquer 37	Gràcia	08024	BARCELONA	ESPANYA	+34 932841214		http://www.ugaritrestaurantsirio.com				
Restaurant Baravins	Carrer Comte d'Urgell 196	Eixample	08036	BARCELONA	ESPANYA	+34 934515172			baravins@teleline.es			
Restaurant Las Guindas	Carrer Sant Pau 126	Ciutat Vella	08001	BARCELONA	ESPANYA							
Restaurant Gran Babilonia	Carrer Santaló 125	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932010904	+34 934142195					
Fàbrica de Creació Ateneu Popular 9 Barris	Carrer Portlligat 11-15	Nou Barris	08042	BARCELONA	ESPANYA	+34 932761187	+34 933503000		info@ateneu9b.net	http://www.ateneu9b.net		
Restaurant Semon - Sta Fe Nou Mèxic	Carrer Santa Fe de Nou Mèxic 15	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 932015507						
Llibreria Casa del Libro - Passeig Gràcia	Pg Gràcia 62	Eixample	08007	BARCELONA	ESPANYA	+34 932723480	+34 934871426					
Cafeteria  Restaurant Living Bar	Capellans 9	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 934121370						
Restaurant Luna de Estambul	Av Roma 110	Eixample	08015	BARCELONA	ESPANYA	+34 933232565						
Restaurant Tapas - Poble Espanyol	Av Francesc Ferrer Guàrdia 13-27	Sants-Montjuïc	08038	BARCELONA	ESPANYA	+34 933257746	+34 933257746					
Restaurant Bell Amic	Carrer Gignàs 25	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933151259			lcanyas@wanadoo.es			
Restaurant Frankfurt de l'Olla	Carrer Torrent de l'Olla 111	Gràcia	08012	BARCELONA	ESPANYA	+34 932372174						
El Cafè de Ferran	Ferran 59	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933021076						
Bar Castells	Pl Bonsuccés 0001	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933021054						
Mirador Barcelona Restaurant El Cordero	Riudecanyes 5	Nou Barris	08033	BARCELONA	ESPANYA	+34 933533419	+34 933530701					
Restaurant Marisqueria Las 5 Villas	Rda General Mitre 1 Baix	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 932802858	+34 932805643					
Bar Restaurant Blat Net - Sitges	Carrer Sitges 6	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933179925						
Bar Bocatta - Pl Sant Jaume	Pl Sant Jaume 6	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933151606	+34 933151606	http://www.bocatta.es				
Bar Restaurant La Perla - Numáncia	Numància 66	Les Corts	08029	BARCELONA	ESPANYA	+34 934305017						
Restaurant La Torreta de Sarrià	Ctra Sarrià a Vallvidrera 82	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 932805630						
Sweet Gaufre	Carrer la Rambla 83	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933026960						
Bar Restaurant A Canteira	Pg Sant Joan 159	Gràcia	08037	BARCELONA	ESPANYA	+34 934588486						
Bar Bus Exprés	Av Meridiana 408-410	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933450206						
Restaurant La Taverna de Santa Maria	Carrer Abaixadors 10 bxs 3a	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933103096	+34 933103096					
Restaurant Ca La Monyos	Carrer Muntaner 18	Eixample	08011	BARCELONA	ESPANYA	+34 934545358						
Restaurant Can Tornem-hi	Av Exèrcit 8-10	Les Corts	08034	BARCELONA	ESPANYA	+34 932804814						
Restaurant All i Oli	Alella 3	Nou Barris	08016	BARCELONA	ESPANYA	+34 934083542		http://www.rbmesa.com/allioli.htm				
Restaurant Sal i Pebre	Alfambra 14	Les Corts	08034	BARCELONA	ESPANYA	+34 932053658						
Restaurant Triton	Alfambra 16	Les Corts	08034	BARCELONA	ESPANYA	+34 932033085	+34 932044190		rbmesa@noftly.es	http://www.rbmesa.com/triton.htm		
Bar  Aptc	Carrer Alí Bei 43	Eixample	08010	BARCELONA	ESPANYA	+34 932313058						
Bar Restaurant Paco Alcalde	Carrer Almirall Aixada 12	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932215026	+34 932214597	http://www.pacoalcalde-restaurante.com				
Bar Restaurant Ancora	Carrer Almirall Cervera 2	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932215062	+34 932215062					
Bar Restaurant Salamanca	Carrer Almirall Cervera 27	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932216616	+34 932215033	http://www.gruposilvestre.com				
Restaurant Salamanca	Carrer Almirall Cervera 34	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932215033	+34 932255156	http://www.gruposilvestre.com				
Restaurant Monguzan	Carrer Almogàvers 191	Sant Martí	08018	BARCELONA	ESPANYA	+34 933007418						
Bodega Costa Brava	Carrer Alzina 58	Gràcia	08024	BARCELONA	ESPANYA	+34 934592210						
Restaurant Tastavins -  Bodega Brugal	Morales 30	Les Corts	08029	BARCELONA	ESPANYA	+34 934301344						
Restaurant Mercè Vins	Carrer n'Amargós 1	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933026056						
Bar Restaurant El Pati	Carrer n'Amargós 13	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933020036						
Café Loyola	Amigó 0044	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932099729						
Restaurant Mariona	Carrer Amigó 53	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932011830	+34 932045653	http://www.marionarestaurant.com				
Bar Restaurant Panchito - Amigo	Carrer Amigó 57	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932022131		http://www.panchito.com				
Restaurant La Parrilla	Carrer Amigó 62	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932094110						
Bar Restaurant Don Zangano	Carrer Amigó 74	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932094129			donzangano@gmail.com			
Restaurant Vol de Nit	Carrer Anglí 4	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 932039181						
Restaurant Ca La Nuri Eixample - Consell de Cent	Carrer Consell de Cent 377	Eixample	08009	BARCELONA	ESPANYA	+34 932155523	+34 934871058	http://www.calanuri.com	info@calanuri.com			
Umma Gumma	Carrer Aragó 595	Sant Martí	08026	BARCELONA	ESPANYA	+34 932458033						
Bar Restaurant Rincón	Carrer Arbós 4	Horta-Guinardó	08032	BARCELONA	ESPANYA	+34 933573085						
Restaurant Pizzeria La Pizza Nostra	Carrer Montcada 29	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933199058			auroraboreal7@hotmail.com			
Bar Kentucky	Arc del Teatre 11	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933182878						
Bar Restaurant  l'Ovella Negra	Carrer Sitges 5	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933171087	+34 933171087					
Bar Restaurant Noni	Carrer Arenys 21	Horta-Guinardó	08035	BARCELONA	ESPANYA	+34 934174673						
Restaurant La Flauta	Carrer Aribau 23	Eixample	08011	BARCELONA	ESPANYA	+34 933237038						
Restaurant El Puma	Carrer Aribau 44	Eixample	08011	BARCELONA	ESPANYA	+34 934541913						
Restaurant Japonès Yamadori	Carrer Aribau 68 bxs	Eixample	08011	BARCELONA	ESPANYA	+34 934539264	+34 934513655	http://www.yashimtagrupo.com				
Restaurant Chicoa S.A.	Carrer Aribau 73	Eixample	08036	BARCELONA	ESPANYA	+34 934538532	+34 934531123					
Bar Restaurant Racó d'en Balta	Carrer Aribau 125	Eixample	08036	BARCELONA	ESPANYA	+34 934531044	+34 934548348	http://www.racodenbalta.com				
Bar Ros Negre	Aribau 167	Eixample	08036	BARCELONA	ESPANYA	+34 934395758						
Restaurant El Patio Andaluz - Aribau	Carrer Aribau 242	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932093378	+34 932093378					
Bar Restaurant La Soca	Carrer Aribau 280	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932009136						
Restaurant Cerveseria O'Brindis	Carrer Aribau 282	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932095530						
Restaurant Arizala 60	Arizala 60	Les Corts	08028	BARCELONA	ESPANYA	+34 933339146						
Bar Restaurant Jumilla	Carrer Artesa de Segre 6	Sarrià-Sant Gervasi	08022	BARCELONA	ESPANYA	+34 934173007						
Bar Maria Castaña	Via Augusta 53	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932170985	+34 932182590					
Bar Restaurant Torrotito	Via Augusta 101	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932184156						
